aspect_key,review_key,property_key,review_date,category,polarity,severity,confidence,actionable_by,evidence_span,model,rating,language
222,124,2,2025-05-04,location,positive,not_applicable,high,none,"great location, walking distance to everything",gemini-3.1-flash-lite,4.0,en
223,125,1,2025-05-04,room_quality,positive,not_applicable,high,none,The apartment is well furnished and spacious,gemini-3.1-flash-lite,5.0,en
224,125,1,2025-05-04,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
225,126,2,2025-05-07,maintenance,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
226,126,2,2025-05-07,staff,negative,moderate,high,front_office,the front desk was unhelpful when we raised an issue,gemini-3.1-flash-lite,5.0,en
227,127,1,2025-05-08,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.0,en
228,128,1,2025-05-02,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.0,en
229,128,1,2025-05-02,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,4.0,en
230,128,1,2025-05-02,food,negative,moderate,high,revenue,"there is no restaurant, which was inconvenient",gemini-3.1-flash-lite,4.0,en
231,129,1,2025-05-05,location,positive,not_applicable,high,none,"Great location, walking distance to everything",gemini-3.1-flash-lite,4.5,en
232,130,1,2025-05-06,maintenance,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,5.0,en
233,130,1,2025-05-06,maintenance,negative,minor,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,5.0,en
234,131,1,2025-05-10,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
235,132,2,2025-05-07,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night",gemini-3.1-flash-lite,5.0,en
236,132,2,2025-05-07,maintenance,positive,not_applicable,high,none,everything worked exactly as it should,gemini-3.1-flash-lite,5.0,en
237,132,2,2025-05-07,maintenance,negative,minor,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,5.0,en
238,133,1,2025-05-07,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
239,133,1,2025-05-07,amenities,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
240,134,1,2025-05-06,value,positive,not_applicable,high,none,Cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
241,134,1,2025-05-06,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
242,134,1,2025-05-06,cleanliness,positive,not_applicable,high,none,daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
243,135,2,2025-05-04,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
244,135,2,2025-05-04,amenities,positive,not_applicable,high,none,kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
245,135,2,2025-05-04,maintenance,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,5.0,en
246,136,2,2025-05-17,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
247,136,2,2025-05-17,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
248,137,2,2025-05-12,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,5.0,en
249,137,2,2025-05-12,amenities,positive,not_applicable,high,none,free parking made a big difference,gemini-3.1-flash-lite,5.0,en
250,137,2,2025-05-12,maintenance,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,5.0,en
251,138,1,2025-05-09,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
252,138,1,2025-05-09,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
253,138,1,2025-05-09,room_quality,negative,minor,high,front_office,the apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,4.5,en
254,139,2,2025-05-06,location,positive,not_applicable,high,none,"Great location, walking distance to everything",gemini-3.1-flash-lite,4.5,en
255,139,2,2025-05-06,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
256,140,1,2025-05-12,noise,positive,not_applicable,high,none,Very peaceful,gemini-3.1-flash-lite,3.0,hinglish
257,140,1,2025-05-12,room_quality,positive,not_applicable,high,none,room spacious tha aur well maintained,gemini-3.1-flash-lite,3.0,hinglish
258,140,1,2025-05-12,maintenance,negative,moderate,high,maintenance,AC theek se kaam nahi kar raha tha,gemini-3.1-flash-lite,3.0,hinglish
259,141,2,2025-05-13,amenities,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
260,142,1,2025-05-12,noise,positive,not_applicable,high,none,Very peaceful,gemini-3.1-flash-lite,4.5,en
261,142,1,2025-05-12,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.5,en
262,143,2,2025-05-11,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,5.0,en
263,143,2,2025-05-11,check_in,positive,not_applicable,high,none,early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
264,143,2,2025-05-11,other,negative,moderate,high,none,the approach road is badly lit at night,gemini-3.1-flash-lite,5.0,en
265,144,2,2025-05-18,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
266,144,2,2025-05-18,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
267,144,2,2025-05-18,amenities,negative,minor,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,5.0,en
268,145,1,2025-05-17,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
269,145,1,2025-05-17,amenities,positive,not_applicable,high,none,laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
270,145,1,2025-05-17,maintenance,negative,moderate,high,maintenance,gym equipment was out of order,gemini-3.1-flash-lite,5.0,en
271,146,2,2025-05-22,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,,en
272,146,2,2025-05-22,cleanliness,positive,not_applicable,high,none,the apartment was spotless when we arrived,gemini-3.1-flash-lite,,en
273,146,2,2025-05-22,cleanliness,negative,minor,high,housekeeping,there was dust on the shelves and under the bed,gemini-3.1-flash-lite,,en
274,147,1,2025-05-21,value,positive,not_applicable,high,none,Cheaper than a hotel,gemini-3.1-flash-lite,5.0,en
275,147,1,2025-05-21,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,5.0,en
276,147,1,2025-05-21,amenities,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
277,148,1,2025-05-17,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
278,149,1,2025-05-23,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
279,150,2,2025-05-20,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
280,151,1,2025-05-18,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
281,152,2,2025-05-22,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,5.0,en
282,153,1,2025-05-25,cleanliness,positive,not_applicable,high,none,The apartment was spotless when we arrived,gemini-3.1-flash-lite,5.0,en
283,154,2,2025-05-17,noise,positive,not_applicable,high,none,Very peaceful,gemini-3.1-flash-lite,4.5,en
284,154,2,2025-05-17,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,en
285,155,1,2025-05-24,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.0,hinglish
286,155,1,2025-05-24,check_in,negative,moderate,high,front_office,check-in mein bahut time laga,gemini-3.1-flash-lite,4.0,hinglish
287,156,2,2025-05-23,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.5,en
288,157,2,2025-06-03,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.0,en
289,157,2,2025-06-03,noise,negative,moderate,high,front_office,construction noise started early every morning,gemini-3.1-flash-lite,4.0,en
290,158,1,2025-05-26,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,4.5,en
291,158,1,2025-05-26,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.5,en
292,159,2,2025-06-03,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
293,160,2,2025-05-26,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
294,160,2,2025-05-26,amenities,negative,moderate,high,maintenance,gym equipment was out of order,gemini-3.1-flash-lite,4.5,en
295,161,1,2025-05-25,value,positive,not_applicable,high,none,"Paisa vasool, definitely worth it",gemini-3.1-flash-lite,5.0,en
296,162,2,2025-05-30,cleanliness,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
297,162,2,2025-05-30,check_in,positive,not_applicable,high,none,early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
298,163,2,2025-05-29,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,4.5,en
299,163,2,2025-05-29,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
300,163,2,2025-05-29,check_in,negative,severe,high,front_office,the access code did not work and we waited outside,gemini-3.1-flash-lite,4.5,en
301,164,2,2025-06-06,amenities,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.0,en
302,164,2,2025-06-06,cleanliness,positive,not_applicable,high,none,daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.0,en
303,165,1,2025-05-27,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,5.0,en
304,165,1,2025-05-27,cleanliness,positive,not_applicable,high,none,room was very clean and fresh,gemini-3.1-flash-lite,5.0,en
305,166,1,2025-05-28,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night",gemini-3.1-flash-lite,5.0,en
306,166,1,2025-05-28,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
307,166,1,2025-05-28,room_quality,negative,moderate,high,maintenance,the sofa was worn and the chair was broken,gemini-3.1-flash-lite,5.0,en
308,167,1,2025-06-06,other,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.0,en
309,167,1,2025-06-06,wifi,negative,severe,high,tech,WiFi kept dropping during calls,gemini-3.1-flash-lite,4.0,en
310,168,2,2025-05-28,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
311,169,2,2025-05-26,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.0,en
312,169,2,2025-05-26,maintenance,negative,moderate,high,maintenance,the gym equipment was out of order,gemini-3.1-flash-lite,4.0,en
313,170,1,2025-05-28,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,4.5,en
314,170,1,2025-05-28,housekeeping_response,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
315,171,1,2025-06-02,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,4.5,en
316,172,1,2025-06-05,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
317,172,1,2025-06-05,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
318,172,1,2025-06-05,room_quality,negative,minor,high,none,the apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,5.0,en
319,173,1,2025-06-01,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.0,en
320,173,1,2025-06-01,check_in,positive,not_applicable,high,none,self check-in worked perfectly at midnight,gemini-3.1-flash-lite,4.0,en
321,173,1,2025-06-01,wifi,negative,severe,high,tech,internet was too slow to work on,gemini-3.1-flash-lite,4.0,en
322,174,1,2025-06-04,value,positive,not_applicable,high,none,Excellent value for what you get,gemini-3.1-flash-lite,4.5,en
323,175,2,2025-05-29,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,5.0,en
324,176,1,2025-06-01,wifi,negative,moderate,high,tech,internet was too slow to work on,gemini-3.1-flash-lite,4.0,en
325,177,1,2025-05-31,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,5.0,en
326,177,1,2025-05-31,noise,negative,moderate,high,front_office,construction noise started early every morning,gemini-3.1-flash-lite,5.0,en
327,178,1,2025-06-06,value,negative,minor,medium,revenue,for this price I expected more,gemini-3.1-flash-lite,4.0,en
328,179,1,2025-06-03,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,4.5,en
329,180,2,2025-06-04,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,5.0,en
330,181,1,2025-06-10,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.0,en
331,182,2,2025-06-06,room_quality,positive,not_applicable,high,none,Room spacious tha,gemini-3.1-flash-lite,5.0,en
332,182,2,2025-06-06,room_quality,positive,not_applicable,high,none,well maintained,gemini-3.1-flash-lite,5.0,en
333,183,2,2025-06-09,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,hinglish
334,183,2,2025-06-09,maintenance,negative,moderate,high,maintenance,AC theek se kaam nahi kar raha tha,gemini-3.1-flash-lite,5.0,hinglish
335,184,2,2025-06-10,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
336,184,2,2025-06-10,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
337,184,2,2025-06-10,check_in,negative,moderate,high,front_office,check-in took over forty minutes,gemini-3.1-flash-lite,4.5,en
338,185,2,2025-06-11,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,4.0,en
339,185,2,2025-06-11,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,4.0,en
340,185,2,2025-06-11,value,negative,minor,medium,revenue,for this price I expected more,gemini-3.1-flash-lite,4.0,en
341,186,2,2025-06-11,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,5.0,en
342,187,1,2025-06-13,wifi,positive,not_applicable,high,none,WiFi was fast and stable,gemini-3.1-flash-lite,5.0,en
343,187,1,2025-06-13,room_quality,negative,moderate,high,maintenance,sofa was worn,gemini-3.1-flash-lite,5.0,en
344,187,1,2025-06-13,room_quality,negative,severe,high,maintenance,chair was broken,gemini-3.1-flash-lite,5.0,en
345,188,1,2025-06-08,check_in,positive,not_applicable,high,none,Check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
346,189,1,2025-06-15,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
347,190,2,2025-06-19,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,4.5,en
348,190,2,2025-06-19,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
349,191,2,2025-06-08,housekeeping_response,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
350,191,2,2025-06-08,value,positive,not_applicable,high,none,cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
351,191,2,2025-06-08,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
352,192,2,2025-06-08,check_in,positive,not_applicable,high,none,Self check-in worked perfectly,gemini-3.1-flash-lite,5.0,en
353,192,2,2025-06-08,wifi,positive,not_applicable,high,none,wiFi was fast and stable,gemini-3.1-flash-lite,5.0,en
354,193,1,2025-06-15,noise,positive,not_applicable,high,none,Very peaceful,gemini-3.1-flash-lite,4.0,en
355,194,1,2025-06-16,check_in,positive,not_applicable,high,none,Check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
356,194,1,2025-06-16,amenities,positive,not_applicable,high,none,kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
357,195,2,2025-06-12,cleanliness,positive,not_applicable,high,none,The apartment was spotless,gemini-3.1-flash-lite,5.0,en
358,196,1,2025-06-15,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,4.5,en
359,196,1,2025-06-15,amenities,positive,not_applicable,high,none,free parking made a big difference,gemini-3.1-flash-lite,4.5,en
360,197,2,2025-06-23,maintenance,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,4.5,en
361,197,2,2025-06-23,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
362,198,1,2025-06-19,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
363,198,1,2025-06-19,wifi,negative,moderate,high,tech,internet was too slow to work on,gemini-3.1-flash-lite,5.0,en
364,199,1,2025-06-21,housekeeping_response,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
365,200,2,2025-06-23,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,4.0,en
366,200,2,2025-06-23,staff,negative,moderate,high,front_office,the front desk was unhelpful when we raised an issue,gemini-3.1-flash-lite,4.0,en
367,201,2,2025-06-18,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
368,201,2,2025-06-18,staff,positive,not_applicable,high,none,staff bahut helpful the,gemini-3.1-flash-lite,5.0,en
369,201,2,2025-06-18,staff,negative,moderate,high,front_office,the front desk was unhelpful when we raised an issue,gemini-3.1-flash-lite,5.0,en
370,202,2,2025-06-17,wifi,positive,not_applicable,high,none,Internet held up fine,gemini-3.1-flash-lite,5.0,en
371,202,2,2025-06-17,housekeeping_response,positive,not_applicable,high,none,daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
372,203,1,2025-06-20,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,4.5,en
373,204,2,2025-06-24,value,positive,not_applicable,high,none,"Paisa vasool, definitely worth it",gemini-3.1-flash-lite,4.5,en
374,204,2,2025-06-24,cleanliness,positive,not_applicable,high,none,bathroom was sparkling clean,gemini-3.1-flash-lite,4.5,en
375,205,1,2025-06-20,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,5.0,en
376,205,1,2025-06-20,room_quality,positive,not_applicable,high,none,bed was extremely comfortable,gemini-3.1-flash-lite,5.0,en
377,206,1,2025-06-20,staff,positive,not_applicable,high,none,Staff bahut helpful the,gemini-3.1-flash-lite,5.0,en
378,206,1,2025-06-20,location,positive,not_applicable,high,none,great location,gemini-3.1-flash-lite,5.0,en
379,206,1,2025-06-20,housekeeping_response,negative,moderate,high,housekeeping,we asked for cleaning three times before anyone came,gemini-3.1-flash-lite,5.0,en
380,207,1,2025-06-24,check_in,positive,not_applicable,high,none,Check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
381,207,1,2025-06-24,wifi,positive,not_applicable,high,none,wiFi was fast and stable,gemini-3.1-flash-lite,4.5,en
382,208,2,2025-06-30,check_in,positive,not_applicable,high,none,Self check-in worked perfectly,gemini-3.1-flash-lite,4.5,en
383,209,2,2025-06-27,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,5.0,en
384,209,2,2025-06-27,check_in,negative,severe,high,front_office,the access code did not work and we waited outside,gemini-3.1-flash-lite,5.0,en
385,210,1,2025-07-03,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,3.5,en
386,210,1,2025-07-03,cleanliness,negative,moderate,high,housekeeping,the bathroom had not been cleaned properly,gemini-3.1-flash-lite,3.5,en
387,211,1,2025-06-27,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,4.0,hinglish
388,211,1,2025-06-27,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.0,hinglish
389,211,1,2025-06-27,housekeeping_response,negative,moderate,high,housekeeping,"towels maange the, do ghante lag gaye",gemini-3.1-flash-lite,4.0,hinglish
390,212,1,2025-07-01,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.0,hinglish
391,212,1,2025-07-01,check_in,negative,moderate,high,front_office,check-in mein bahut time laga,gemini-3.1-flash-lite,4.0,hinglish
392,213,1,2025-07-03,value,positive,not_applicable,high,none,Cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
393,213,1,2025-07-03,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
394,213,1,2025-07-03,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
395,214,2,2025-06-26,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,4.0,en
396,214,2,2025-06-26,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.0,en
397,214,2,2025-06-26,maintenance,negative,moderate,high,maintenance,the geyser was not working properly,gemini-3.1-flash-lite,4.0,en
398,215,1,2025-07-08,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
399,215,1,2025-07-08,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
400,216,2,2025-06-30,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
401,216,2,2025-06-30,room_quality,positive,not_applicable,high,none,everything worked exactly as it should,gemini-3.1-flash-lite,4.5,en
402,217,2,2025-07-05,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
403,218,1,2025-07-03,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
404,218,1,2025-07-03,housekeeping_response,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
405,219,2,2025-07-01,room_quality,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,5.0,hinglish
406,219,2,2025-07-01,wifi,negative,moderate,high,tech,wifi bar bar disconnect ho raha tha,gemini-3.1-flash-lite,5.0,hinglish
407,220,1,2025-06-30,housekeeping_response,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
408,220,1,2025-06-30,value,positive,not_applicable,high,none,cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
409,220,1,2025-06-30,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
410,221,1,2025-06-30,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.5,en
411,221,1,2025-06-30,wifi,negative,minor,medium,tech,Hope they fix it,gemini-3.1-flash-lite,4.5,en
412,222,1,2025-07-03,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
413,222,1,2025-07-03,cleanliness,positive,not_applicable,high,none,bathroom was sparkling clean,gemini-3.1-flash-lite,5.0,en
414,223,1,2025-07-02,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,5.0,en
415,223,1,2025-07-02,maintenance,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
416,224,1,2025-07-04,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
417,224,1,2025-07-04,room_quality,negative,minor,high,none,the apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,5.0,en
418,225,2,2025-06-29,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
419,226,1,2025-07-06,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
420,227,1,2025-07-05,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
421,227,1,2025-07-05,maintenance,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
422,228,1,2025-07-02,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.0,en
423,228,1,2025-07-02,location,positive,not_applicable,high,none,"great location, walking distance to everything",gemini-3.1-flash-lite,4.0,en
424,229,1,2025-07-03,value,positive,not_applicable,high,none,"Paisa vasool, definitely worth it",gemini-3.1-flash-lite,4.0,en
425,229,1,2025-07-03,amenities,negative,minor,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,4.0,en
426,230,2,2025-07-08,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,4.5,en
427,230,2,2025-07-08,maintenance,negative,moderate,high,maintenance,geyser was not working properly,gemini-3.1-flash-lite,4.5,en
428,231,2,2025-07-09,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
429,232,1,2025-07-04,wifi,positive,not_applicable,high,none,Internet held up fine,gemini-3.1-flash-lite,4.5,en
430,233,2,2025-07-06,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
431,234,2,2025-07-05,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,4.5,en
432,234,2,2025-07-05,value,positive,not_applicable,high,none,"paisa vasool, definitely worth it",gemini-3.1-flash-lite,4.5,en
433,234,2,2025-07-05,other,negative,minor,low,none,Hope they fix it.,gemini-3.1-flash-lite,4.5,en
434,235,1,2025-07-10,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,4.5,en
435,235,1,2025-07-10,cleanliness,positive,not_applicable,high,none,the apartment was spotless when we arrived,gemini-3.1-flash-lite,4.5,en
436,236,1,2025-07-12,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.5,en
437,236,1,2025-07-12,amenities,positive,not_applicable,high,none,free parking made a big difference,gemini-3.1-flash-lite,4.5,en
438,237,2,2025-07-06,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.0,en
439,237,2,2025-07-06,maintenance,negative,severe,high,maintenance,hot water stopped working on the second morning,gemini-3.1-flash-lite,4.0,en
440,238,1,2025-07-20,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,4.0,en
441,238,1,2025-07-20,check_in,negative,severe,high,front_office,the access code did not work and we waited outside,gemini-3.1-flash-lite,4.0,en
442,239,1,2025-07-15,value,positive,not_applicable,high,none,Cheaper than a hotel,gemini-3.1-flash-lite,4.5,en
443,239,1,2025-07-15,room_quality,positive,not_applicable,high,none,far more space,gemini-3.1-flash-lite,4.5,en
